_id,School,subschool,descriptors,Brd,Clr,Drd,Pal,Rgr,Wiz,Spell Name,Effect,Comp,Time,Range,Duration,Save,SR,Full,gp,xp
,,,,2,,2,,,,Animal Trance,Fascinates 2d6 HD of animals.,vs,1 action,Close (25 ft. + 5 ft./2 levels),Concentration,Will negates,Yes,,,
,,,,,3,,,,5,Animate Dead,Creates undead skeletons and zombies.,vsm,1 action,Touch,Instantaneous,None,No,,,
,,,,,6,,,,,Animate Objects,Objects attack your foes.,vs,1 action,Medium (100 ft. + 10 ft./level),1 round/level,None,No,,,
,,,,,,,,,1,Animate Rope,Makes a rope move at your command.,vs,1 action,Medium (100 ft. + 10 ft./level),1 round/level,None,No,,,
,,,,,6,6,,,,Antilife Shell,10-ft. field hedges out living creatures.,vsd,1 full round,10 ft.,10 minutes/level,None,Yes,,,
,,,,,8,,,,6,Antimagic Field,Negates magic within 10 ft.,vsmd,1 action,10 ft.,10 minutes/level,None,Text,,,
,,,,,,9,,,8,Antipathy,Object or location affected by spell repels certain creatures.,vsmd,1 hour,Close (25 ft. + 5 ft./2 levels),2 hours/level,Will partial,Yes,,,
,,,,,,4,,,,Antiplant Shell,Keeps animated plants at bay.,vsd,1 action,10 ft.,10 minutes/level,None,Yes,,,
,,,,,,,,,4,Arcane Eye,Invisible floating eye moves 30 ft./round.,vsm,10 minutes,Unlimited,1 minute/level,None,No,,,
,,,,,,,,,2,Arcane Lock,Magically locks a portal or chest.,vsm,1 action,Touch,Permanent,None,No,,,
,,,,,,,,,0,Arcane Mark,Inscribes a personal rune (visible or invisible).,vs,1 action,0 ft.,Permanent,None,No,,,
,,,,,9,,,,9,Astral Projection,Projects you and companions into Astral Plane.,vsm,30 minutes,Touch,See text,None,Yes,,,
,,,,,5,5,,,,Atonement,Removes burden of misdeeds from subject.,vsmfdx,1 hour,Touch,Instantaneous,None,Yes,,,
,,,,,2,,,,,Augury,Learns whether an action will be good or bad.,vsf,1 action,Personal,Instantaneous,--,--,,,
,,,,,,5,,,,Awaken,Animal or tree gains human intellect.,vsfx,One day,Touch,Instantaneous,Will negates,Yes,,,
,,,,,,,,,8,B.'s Clenched Fist,Large hand attacks your foes.,vsfd,1 action,Medium (100 ft. + 10 ft./level),1 round/level,None,Yes,,,
,,,,,,,,,9,B.'s Crushing Hand,"As Bigby's interposing hand, but stronger.",vsmfd,1 action,Medium (100 ft. + 10 ft./level),1 round/level,None,Yes,,,
,,,,,,,,,6,B.'s Forceful Hand,Hand pushes creatures away.,vsf,1 action,Medium (100 ft. + 10 ft./level),1 round/level,None,Yes,,,
,,,,,,,,,7,B.'s Grasping Hand,"Hand provides cover, pushes, or grapples.",vsfd,1 action,Medium (100 ft. + 10 ft./level),1 round/level,None,Yes,,,
,,,,,,,,,5,B.'s Interposing Hand,Hand provides 90% cover against one opponent.,vsf,1 action,Medium (100 ft. + 10 ft./level),1 round/level,None,Yes,,,
,,,,,1,,,,,Bane,"Enemies suffer -1 attack, -1 on saves against fear.",vsd,1 action,50 ft.,1 minute/level,Will negates,Yes,,,
,,,,,6,,,,7,Banishment,Banishes 2 HD/level extraplanar creatures.,vsf,1 action,Close (25 ft. + 5 ft./2 levels),Instantaneous,Will negates,Yes,,,
,,,,,,2,,,,Barkskin,Grants +3 natural armor bonus (or higher).,vsd,1 action,Touch,10 minutes/level,None,Yes,,,
,,,,3,3,,,,4,Bestow Curse,"-6 to an ability; -4 on attacks, saves, and checks; or 50% chance of losing each action.",vs,1 action,Touch,Permanent,Will negates,Yes,,,
,,,,,,,,,8,Binding,Array of techniques to imprison a creature.,vsm,1 minute,Close (25 ft. + 5 ft./2 levels),See text,Will negates,Yes,,,
,,,,,6,,,,,Blade Barrier,Blades encircling you deal 1d6 damage/level.,vs,1 full round,Medium (100 ft. + 10 ft./level),10 minutes/level,Reflex negates,Yes,,,
,,,,,7,,,,,Blasphemy,"Kills, paralyzes, weakens, or dazes nonevil subjects.",v,1 action,30 ft.,Instantaneous,None,Yes,,,
,,,,,1,,1,,,Bless,Allies gain +1 attack and +1 on saves against fear.,vsd,1 action,50 ft.,1 minute/level,None,Yes,,,
,,,,,1,,1,,,Bless Water,Makes holy water.,vsm,1 minute,Touch,Instantaneous,Will negates,Yes,,,
,,,,,,,1,,,Bless Weapon,Weapon gains +1 bonus.,vs,1 action,Touch,1 minute/level,None,No,,,
,,,,2,3,,,,2,Blindness/Deafness,Makes subject blind or deaf.,v,1 action,Medium (100 ft. + 10 ft./level),Permanent,Fortitude negates,Yes,,,
,,,,3,,,,,3,Blink,You randomly vanish and reappear for 1 round/level.,vs,1 action,Personal,1 round/level,--,--,,,
,,,,2,,,,,2,Blur,Attacks miss subject 20% of the time.,v,1 action,Touch,1 minute/level,Will negates,Yes,,,
,,,,4,5,,,,,Break Enchantment,"Frees subjects from enchantments, alterations, curses, and petrification.",vs,1 minute,Close (25 ft. + 5 ft./2 levels),Instantaneous,See text,No,,,
,,,,2,2,,,,2,Bull's Strength,Subject gains 1d4+1 Str for 1 hr./level.,vsmd,1 action,Touch,1 hour/level,Will negates,Yes,,,
,,,,,,,,,1,Burning Hands,1d4 fire damage/level (max: 5d4).,vs,1 action,10 ft.,Instantaneous,Reflex half,Yes,,,
,,,,,,3,,,,Call Lightning,Directs lightning bolts (1d10/level) during storms.,vs,"10 minutes, plus 1 action per bolt called",Long (400 ft. + 40 ft./level),10 minutes/level,Reflex half,Yes,,,
,,,,,,1,,,,Calm Animals,"Calms 2d4 +1/level HD of animals, beasts, and magical beasts.",vs,1 action,Close (25 ft. + 5 ft./2 levels),1 minute/level,Will negates,Yes,,,
,,,,,2,,,,,Calm Emotions,"Calms 1d6 subjects/level, negating emotion effects.",vsd,1 action,Medium (100 ft. + 10 ft./level),"Concentration, up to 1 round/level",Will negates,Yes,,,
,,,,2,,,,,2,Cat's Grace,Subject gains 1d4+1 Dex for 1 hr./level.,vsm,1 action,Touch,1 hour/level,Will Negates,Yes,,,
,,,,1,1,,,,1,Cause Fear,One creature flees for 1d4 rounds.,vs,1 action,Close (25 ft. + 5 ft./2 levels),1d4 rounds,Will negates,Yes,,,
,,,,,,,,,6,Chain Lightning,1d6 damage/level; secondary bolts.,vsf,1 action,Long (400 ft. + 40 ft./level),Instantaneous,Reflex half,Yes,,,
,,,,,,,,,1,Change Self,Changes your appearance.,vs,1 action,Personal,10 minutes/level,--,--,"The character can make his or herself—including clothing, armor, weapons, and equipment—look different. The character can seem 1 foot shorter or taller, thin, fat, or in between. The character cannot change the character's body type. Otherwise, the extent of the apparent change is up to the character.

The spell does not provide the abilities or mannerisms of the chosen form. It does not alter the perceived tactile (touch) or audible (sound) properties of the character or the character's equipment.

If the character uses this spell to create a disguise, the character gets a +10 bonus on the Disguise check.

Note: Creatures get Will saves to recognize the glamer as an illusion if they interact with it.",,
,,,,,,7,,,,Changestaff,Your staff becomes a treant on command.,vsf,1 full round,Touch,1 hour/level,None,No,,,
,,,,,,,,,,Chaos Hammer,Damages and staggers lawful creatures.,vs,1 action,Medium (100 ft. + 10 ft./level),Instantaneous,Will half,Yes,,,
,,,,3,,,,,4,Charm Monster,Makes monster believe it is your ally.,vs,1 action,Close (25 ft. + 5 ft./2 levels),1 day/level,Will negates,Yes,,,
,,,,1,,,,,1,Charm Person,Makes one person your friend.,vs,1 action,Close (25 ft. + 5 ft./2 levels),1 hour/level,Will negates,Yes,"This charm makes a humanoid of Medium-size or smaller regard the character as a trusted friend and ally. If the creature is currently being threatened or attacked by the character or the character's allies, however, he receives a +5 bonus on his saving throw.

The spell does not enable the character to control the charmed person as if the person were an automaton, but the subject perceives the character's words and actions in the most favorable way. The character can try to give the subject orders, but the character must win an opposed Charisma check to convince the subject to do anything he or she wouldn’t ordinarily do. (Retries not allowed.) A charmed person never obeys suicidal or obviously harmful orders. Any act by the character or the character's apparent allies that threatens the charmed person breaks the spell. Note also that the character must speak the person’s language to communicate the character's commands, or else be good at pantomiming.",,
,,,,,,2,,,,Charm Person or Animal,Makes one person or animal your friend.,vs,1 action,Close (25 ft. + 5 ft./2 levels),1 hour/level,Will negates,Yes,,,
,,,,,,2,,,,Chill Metal,Cold metal damages those who touch it.,vsd,1 action,Close (25 ft. + 5 ft./2 levels),7 rounds,Will negates,Yes,,,
,,,,,,,,,1,Chill Touch,1 touch/level deals 1d6 damage and possibly 1 Str damage.,vs,1 action,Touch,Instantaneous,Fortitude partial,Yes,,,
,,,,,,,,,6,Circle of Death,Kills 1d4 HD/level.,vsm,1 action,Medium (100 ft. + 10 ft./level),Instantaneous,Fortitude negates,Yes,,,
,,,,,5,,,,,Circle of Doom,Deals 1d8 +1/level damage in all directions.,vs,1 action,20 ft.,Instantaneous,Fortitude half,Yes,,,
,,,,3,,,,,3,Clairaudience/Clairvoyance,Hear or see at a distance for 1 min./level.,vsfd,1 action,See text,1 minute/level,None,No,"Clairaudience/clairvoyance enables the character to concentrate upon some locale and hear or see (the character's choice) almost as if the character were there. Distance is not a factor, but the locale must be known—a place familiar to the character or an obvious one. The spell does not allow magically enhanced senses to work through it. If the chosen locale is magically dark, the character sees nothing. If it is naturally pitch black, the character can see in a 10-foot radius around the center of the spell’s effect. Lead sheeting or magical protection blocks the spell, and the character senses that the spell is so blocked. The spell creates an invisible sensor that can be dispelled. The spell functions only on the plane of existence the character is currently occupying.",,
,,,,,8,,,,,Cloak of Chaos,"+4 AC, +4 resistance, and SR 25 against lawful spells.",vsf,1 action,20 ft.,1 round/level,See text,Yes,,,
,,,,,,,,,8,Clone,Duplicate awakens when original dies.,vsmf,10 minutes,0 ft.,Instantaneous,None,No,,,
,Conj,,,,,,,,5,Cloudkill,Kills 3 HD or less; 4-6 HD save or die.,vs,1 action,Medium (100 ft. + 10 ft./level),1 minute/level,See text,Yes,,,
,,,,,,,,,1,Color Spray,"Knocks unconscious, blinds, or stuns 1d6 weak creatures.",vsm,1 action,Close (25 ft. + 5 ft./2 levels),Instantaneous,Will negates,Yes,"A cone of colors springs forth from the character's hand. The closest 1d6 creatures in the cone are affected. The spell affects each subject according to its HD:

Up to 2: Unconscious for 2d4 rounds, then blinded for 1d4 rounds, and then stunned for 1 round. (Only living creatures are knocked unconscious.)

3 or 4: Blinded for 1d4 rounds, then stunned for 1 round.

5 or more: Stunned for 1 round.

In addition to the obvious effects, a blinded creature suffers a 50% miss chance in combat (all opponents have full concealment), loses any Dexterity bonus to AC, grants a +2 bonus to attackers’ attack rolls (they are effectively invisible), moves at half speed, and suffers a –4 penalty on Search checks and most Strength- and Dexterity-based skills.

A stunned creature can't act and loses any Dexterity bonus to AC. Attackers gain +2 bonuses to attack it.

Sightless creatures are not affected by color spray. ",,
,,,,,1,,,,,Command,One subject obeys one-word command for 1 round.,v,1 action,Close (25 ft. + 5 ft./2 levels),1 round,Will negates,Yes,,,
,,,,,,8,,,,Command Plants,Plants animate and vegetation entangles.,v,1 action,Close (25 ft. + 5 ft./2 levels),1 day/level or 1 hour/level,See text,Text,,,
,,,,,5,,,,,Commune,Deity answers one yes-or-no question/level.,vsmdx,10 minutes,Personal,1 round/level,--,--,,,
,,,,,,5,,,,Commune with Nature,Learn about terrain for one mile/level.,vs,10 minutes,Personal,Instantaneous,--,--,,,
,,,,,1,,,,1,Comprehend Languages,Understands all spoken and written languages.,vsmd,1 action,Personal,10 minutes/level,--,--,,,
,,,,,,,,,5,Cone of Cold,1d6 cold damage/level.,vsmd,1 action,Close (25 ft. + 5 ft./2 levels),Instantaneous,Reflex half,Yes,,,
,,,,3,,,,,4,Confusion,Makes subject behave oddly for 1 round/level.,vsmd,1 action,Medium (100 ft. + 10 ft./level),1 round/level,Will negates,Yes,,,
,,,,,2,,,,,Consecrate,"Fills area with positive energy, making undead weaker.",vsmd,1 action,Close (25 ft. + 5 ft./2 levels),2 hours/level,None,No,,,
,,,,5,,,,,5,Contact Other Plane,Ask question of extraplanar entity.,v,10 minutes,Personal,Concentration,--,--,,,
,,,,,3,3,,,4,Contagion,Infects subject with chosen disease.,vs,1 action,Touch,Instantaneous,Fortitude negates,Yes,,,
,,,,,,,,,6,Contingency,Sets trigger condition for another spell.,vsmf,At least 10 minutes,Personal,1 day/level or until discharged,--,--,,,
,,,,,3,,,,2,Continual Flame,"Makes a permanent, heatless torch.",vsm,1 action,Touch,Permanent,None,No,,,
,,,,,,4,,3,,Control Plants,Talk to and control plants & fungi.,vsd,1 action,Close (25 ft. + 5 ft./2 levels),1 minute/level,Will negates,No,,,
,,,,,,,,,7,Control Undead,Undead don't attack you while under your command.,vsm,1 action,Close (25 ft. + 5 ft./2 levels),1 minute/level,Will negates,Yes,,,
,,,,5,4,,,,6,Control Water,"Raises, lowers, or parts bodies of water.",vsmd,1 action,Long (400 ft. + 40 ft./level),10 minutes/level,None,No,,,
,,,,6,7,7,,,6,Control Weather,Changes weather in local area.,vs,10 minutes,Two miles,4d12 hours,None,No,,,
,,,,,,5,,,,Control Winds,Change wind direction and speed.,vs,1 action,40 ft./level,10 minutes/level,Fortitude negates,No,,,
,,,,,3,,,,,Create Food and Water,Feeds three humans (or one horse)/level.,vs,10 minutes,Close (25 ft. + 5 ft./2 levels),24 hours,None,No,,,
,,,,,8,,,,,Create Greater Undead,"Mummies, spectres, vampires, or ghosts.",vsm,1 hour,Close (25 ft. + 5 ft./2 levels),Instantaneous,None,No,,,
,,,,,6,,,,,Create Undead,"Ghouls, shadows, ghasts, wights, or wraiths.",vsm,1 hour,Close (25 ft. + 5 ft./2 levels),Instantaneous,None,No,,,
,,,,,0,0,1,,,Create Water,Creates 2 gallons/level of pure water.,vs,1 action,Close (25 ft. + 5 ft./2 levels),Instantaneous,None,No,,,
,,,,,,7,,,,Creeping Doom,Carpet of insects attacks at your command.,vs,1 full round,Close (25 ft. + 5 ft./2 levels),1 minute/level,None,No,,,
,,,,4,4,5,,,,Cure Critical Wounds,Cures 4d8 +1/level damage (max +20).,vs,1 action,Touch,Instantaneous,Will half,Yes,,,
,,,,1,1,1,1,2,,Cure Light Wounds,Cures 1d8 +1/level damage (max +5).,vs,1 action,Touch,Instantaneous,Will half,Yes,,,
,,,,,0,0,,,,Cure Minor Wounds,Cures 1 point of damage.,vs,1 action,Touch,Instantaneous,Will half,Yes,,,
,,,,2,2,3,3,3,,Cure Moderate Wounds,Cures 2d8 +1/level damage (max +10).,vs,1 action,Touch,Instantaneous,Will half,Yes,,,
,,,,3,3,4,4,4,,Cure Serious Wounds,Cures 3d8 +1/level damage (max +15).,vs,1 action,Touch,Instantaneous,Will half,Yes,,,
,,,,,1,,,,,Curse Water,Makes unholy water.,vsm,1 minute,Touch,Instantaneous,Will negates,Yes,,,
,Conj,,,,,,,,7,D.'s Instant Summons,Prepared object appears in your hand.,vsm,1 action,See text,Permanent until discharged,None,No,,,
,,,,0,,,,,0,Dancing Lights,Figment torches or other lights.,vs,1 action,Medium (100 ft. + 10 ft./level),1 minute,Will disbelief,No,,,
,,,,2,2,,,,2,Darkness,20-ft. radius of supernatural darkness.,vmd,1 action,Touch,10 minutes/level,None,No,,,
,,,,,,,,,2,Darkvision,See 60 ft. in total darkness.,vsm,1 action,Touch,1 hour/level,None,Yes,,,
,,,,2,3,,,,2,Daylight,60-ft. radius of bright light.,vs,1 action,Touch,10 minutes/level,None,No,,,
,,,,0,,,,,0,Daze,Creature loses next action.,vsm,1 action,Close (25 ft. + 5 ft./2 levels),1 round,Will negates,Yes,,,
,,,,,2,,,,,Death Knell,"Kills dying creature; you gain 1d8 temporary hp, +2 Str, and +1 level.",vs,1 action,Touch,Instantaneous/10 minutes per target HD,Will negates,Yes,,,
,,,,,4,5,4,,,Death Ward,Grants immunity to all death spells and effects.,vsd,1 action,Touch,10 minutes/level,None,Yes,,,
,,,,,1,,,,,Deathwatch,Sees how wounded subjects within 30 ft. are.,vs,1 action,Close (25 ft. + 5 ft./2 levels),10 minutes/level,None,No,,,
,,,,,3,,,,,Deeper Darkness,Object sheds absolute darkness in 60-ft. radius.,vs,1 action,Touch,1 day/level,None,No,,,
,,,,2,2,2,2,1,,Delay Poison,Stops poison from harming subject for 1 hour/level.,vsd,1 action,Touch,1 hour/level,Fortitude negates,Yes,,,
,,,,,,,,,7,Delayed Blast Fireball,1d6 fire damage/level; you can delay blast for 5 rounds.,vsm,1 action,Long (400 ft. + 40 ft./level),Up to 5 rounds,Reflex half,Yes,,,
,,,,,,,,,8,Demand,"As sending, plus you can send suggestion.",vsmd,10 minutes,See text,1 round,Will partial,Yes,,,
,,,,,2,,,,,Desecrate,"Fills area with negative energy, making undead stronger.",vsmd,1 action,Close (25 ft. + 5 ft./2 levels),2 hours/level,None,Yes,,,
,,,,,7,,,,,Destruction,Kills subject and destroys remains.,vsf,1 action,Close (25 ft. + 5 ft./2 levels),Instantaneous,Fortitude partial,Yes,,,
,,,,,,1,,1,,Detect Animals or Plants,Detects species of animals or plants.,vs,1 action,Long (400 ft. + 40 ft./level),"Concentration, up to 10 minutes/level",None,No,,,
,,,,,1,,,2,,Detect Chaos,"Reveals creatures, spells, or objects.",vsd,1 action,60 ft.,"Concentration, up to 10 minutes/level",None,No,,,
,,,,,1,,,2,,Detect Evil,"Reveals creatures, spells, or objects.",vsd,1 action,60 ft.,"Concentration, up to 10 minutes/level",None,No,,,
,,,,,1,,,2,,Detect Good,"Reveals creatures, spells, or objects.",vsd,1 action,60 ft.,"Concentration, up to 10 minutes/level",None,No,,,
,,,,,1,,,2,,Detect Law,"Reveals creatures, spells, or objects.",vsd,1 action,60 ft.,"Concentration, up to 10 minutes/level",None,No,,,
,,,,0,0,0,,,0,Detect Magic,Detects spells and magic items within 60 ft.,vs,1 action,60 ft.,"Concentration, up to 1 minute/level",None,No,"The character can detect magical auras. The amount of information revealed depends on how long the character studies a particular area or subject:

    1st Round: Presence or absence of magical auras.
    2nd Round: Number of different magical auras and the strength of the strongest aura.
    3rd Round: The strength and location of each aura. If the items or creatures bearing the auras are in line of sight, the character can make Spellcraft skill checks to determine the school of magic involved in each. (Make one check per aura; DC 15 + spell level, or 15 + half caster level for a nonspell effect.)

Magical areas, multiple types of magic, or strong local magical emanations may confuse or conceal weaker auras.

Aura Strength: An aura’s magical power and strength depend on a spell’s functioning spell level or an item’s caster level.
Functioning
Spell Level  Item
Caster Level  Aura
Strength
0-level or lingering
aura  Lingering aura  Dim
1st-3rd  1st-5th  Faint
4th-6th  6th-11th  Moderate
7th-9th  12th-20th  Strong
Artifact or deity-level
magic  Beyond mortal caster  Overwhelming

If an aura falls into more than one category, detect magic indicates the stronger of the two.

Length Aura Lingers: How long the aura lingers depends on its original strength:
Aura Strength  Duration
Faint                 1d6 minutes
Moderate          1d6 X 10 minutes
Strong              1d6 hours
Overwhelming  1d6 days

Note: Each round, the character can turn to detect things in a new area. The spell can penetrate barriers, but 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or 3 feet of wood or dirt blocks it. Outsiders and elementals are not magical in themselves, but if they are conjured, the conjuration spell registers.",,
,,,,,0,0,1,,0,Detect Poison,Detects poison in one creature or small object.,vs,1 action,Close (25 ft. + 5 ft./2 levels),Instantaneous,None,No,,,
,,,,4,,,,,4,Detect Scrying,Alerts you of magical eavesdropping.,vsm,1 action,120 ft.,24 hours,None,No,,,
,,,,1,,,,,1,Detect Secret Doors,Reveals hidden doors within 60 ft.,vs,1 action,60 ft.,"Concentration, up to 1 minute/level",None,No,,,
,,,,,,1,,1,,Detect Snares and Pits,Reveals natural or primitive traps.,vs,1 action,60 ft.,"Concentration, up to 10 minutes/level",None,No,,,
,,,,2,,,,,2,Detect Thoughts,"Allows ""listening"" to surface thoughts.",vsfd,1 action,60 ft.,"Concentration, up to 1 minute/level",Will negates,No,,,
,,,,,1,,1,,1,Detect Undead,Reveals undead within 60 ft.,vsmd,1 action,60 ft.,"Concentration, up to 1 minute/ level",None,No,,,
,,,,,7,,,,,Dictum,"Kills, paralyzes, weakens, or dazes nonlawful subjects.",v,1 action,30 ft.,Instantaneous,None,Yes,,,
,,,,4,,,,,4,Dimension Door,Teleports you and up to 500 lb.,v,1 action,Long (400 ft. + 40 ft./level),Instantaneous,None and Will negates,Y/N,,,
,,,,,4,,,,4,Dimensional Anchor,Bars extradimensional movement.,vs,1 action,Medium (100 ft. + 10 ft./level),1 minute/level,None,Yes,,,
,,,,,,3,,3,,Diminish Plants,Reduces size or blights growth of normal plants.,vsd,1 action,See text,Instantaneous,None,No,,,
,,,,,4,,3,,,Discern Lies,Reveals deliberate falsehoods.,vsd,1 action,Close (25 ft. + 5 ft./2 levels),"Concentration, up to 1 round/level",Will negates,No,,,
,,,,,8,,,,8,Discern Location,Exact location of creature or object.,vsd,10 minutes,Unlimited,Instantaneous,None,No,,,
,,,,,,,,,6,Disintegrate,Makes one creature or object vanish.,vsmd,1 action,Medium (100 ft. + 10 ft./level),Instantaneous,Fortitude partial,Yes,,,
,,,,4,4,,,,5,Dismissal,Forces a creature to return to native plane.,vsfd,1 action,Close (25 ft. + 5 ft./2 levels),Instantaneous,Will negates,Yes,,,
,,,,,5,,,,,Dispel Chaos,+4 bonus against attacks.,vsd,1 action,Touch,"1 round/level or until discharged, whichever comes first",See text,Text,,,
,,,,,5,,4,,,Dispel Evil,+4 bonus against attacks.,vsd,1 action,Touch,"1 round/level or until discharged, whichever comes first",See text,Text,,,
,,,,,5,,,,,Dispel Good,+4 bonus against attacks.,vsd,1 action,Touch,"1 round/level or until discharged, whichever comes first",See text,Text,,,
,,,,,5,,,,,Dispel Law,+4 bonus against attacks.,vsd,1 action,Touch,"1 round/level or until discharged, whichever comes first",See text,Text,,,
,,,,3,3,4,3,,3,Dispel Magic,Cancels magical spells and effects.,vs,1 action,Medium (100 ft. + 10 ft./level),Instantaneous,None,No,,,
,,,,3,,,,,3,Displacement,Attacks miss subject 50%.,vm,1 action,Touch,1 round/level,Will negates,Yes,,,
,,,,,,,,,0,Disrupt Undead,Deals 1d6 damage to one undead.,vs,1 action,Close (25 ft. + 5 ft./2 levels),Instantaneous,None,Yes,,,
,,,,,4,,,,,Divination,Provides useful advice for specific proposed actions.,vsm,10 minutes,Personal,Instantaneous,--,--,,,
,,,,,1,,1,,,Divine Favor,"You gain attack, damage bonus, +1/three levels.",vsd,1 action,Personal,1 minute,--,--,,,
,,,,,4,,,,,Divine Power,"You gain attack bonus, 18 Str, and 1 hp/level.",vsd,1 action,Personal,1 round/level,--,--,,,
,,,,,,3,,,,Dominate Animal,Subject animal obeys silent mental commands.,vs,1 action,Medium (100 ft. + 10 ft./level),1 round/level,Will negates,Yes,,,
,,,,,,,,,9,Dominate Monster,"As dominate person, but any creature.",vs,1 action,Medium (100 ft. + 10 ft./level),1 day/level,Will negates,Yes,,,
,,,,4,,,,,5,Dominate Person,Controls humanoid telepathically.,vs,1 action,Medium (100 ft. + 10 ft./level),1 day/level,Will negates,Yes,,,
